direction,month,series,series_label,action_type,agency,agency_group,agency_sub,pay_plan,grade,salary,age_band,education,los,appointment_type
accession,202404,0110,economist,New Hire - Competitive Service Appointment,DEPARTMENT OF INTERIOR,Department Of Interior,BUREAU OF LAND MANAGEMENT,GS,12,96148.0,25-29,MASTER'S DEGREE,0.0,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
accession,202404,0110,economist,New Hire - Excepted Service Appointment,RAILROAD RETIREMENT BOARD,Railroad Retirement Board,RAILROAD RETIREMENT BOARD,GS,09,66942.0,30-34,MASTER'S DEGREE,0.0,SCHEDULE D (EXCEPTED SERVICE PERMANENT)
accession,202404,0110,economist,New Hire - Excepted Service Appointment,RAILROAD RETIREMENT BOARD,Railroad Retirement Board,RAILROAD RETIREMENT BOARD,GS,09,66942.0,25-29,MASTER'S DEGREE,0.0,SCHEDULE D (EXCEPTED SERVICE PERMANENT)
accession,202404,0110,economist,New Hire - Excepted Service Appointment,RAILROAD RETIREMENT BOARD,Railroad Retirement Board,RAILROAD RETIREMENT BOARD,GS,09,87024.0,40-44,MASTER'S DEGREE,0.0,OTHER (EXCEPTED SERVICE PERMANENT)
accession,202404,0110,economist,New Hire - Competitive Service Appointment,DEPARTMENT OF ENERGY,Department Of Energy,DEPARTMENT OF ENERGY,GS,15,169429.0,35-39,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,1.8,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
accession,202404,0119,economics_assistant,New Hire - Competitive Service Appointment,DEPARTMENT OF LABOR,BLS,BUREAU OF LABOR STATISTICS,GS,05,39576.0,55-59,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
accession,202404,0110,economist,New Hire - Competitive Service Appointment,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,ENVIRONMENTAL PROTECTION AGENCY,GS,11,82764.0,20-24,MASTER'S DEGREE,1.5,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
accession,202404,0119,economics_assistant,New Hire - Competitive Service Appointment,DEPARTMENT OF LABOR,BLS,BUREAU OF LABOR STATISTICS,GS,05,46494.0,65 or more,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
accession,202404,0119,economics_assistant,New Hire - Competitive Service Appointment,DEPARTMENT OF LABOR,BLS,BUREAU OF LABOR STATISTICS,GS,05,39576.0,20-24,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
accession,202404,0119,economics_assistant,New Hire - Competitive Service Appointment,DEPARTMENT OF LABOR,BLS,BUREAU OF LABOR STATISTICS,GS,05,64037.0,55-59,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,0.0,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT)
