AGY,AGYT,AGYSUB,AGYSUBT,ACC,ACCT,EFDATE,AGELVL,EDLVL,EDLVLT,LOS,OCC,OCCT,OCCFAM,OCCFAMT,PAYPLAN,PAYPLANT,STEMAGGT,STEMTYPT,SUPERVIS,SUPERVIST,TOA,TOAT,WORKSCH,WORKSCHT,COUNT,sensitive_occupation_ind,dod_ind,security_agency_ind,performance_salary_ind,performance_grade_ind,individual_ind,LOC,STATE,STATET,COUNTRY,COUNTRYT,SALARY,GRD
AG,DEPARTMENT OF AGRICULTURE,AG02,AGRICULTURAL MARKETING SERVICE,AC,New Hire - Competitive Service Appointment,202311,30-34,17,MASTER'S DEGREE,4.8,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,2,SUPERVISOR OR MANAGER,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,132368,14
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE36,FOOD AND DRUG ADMINISTRATION,AA,Transfer In - Individual Transfer,202402,45-49,21,DOCTORATE DEGREE,8.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,167276,14
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HE70,CENTERS FOR MEDICARE & MEDICAID SERVICES,AC,New Hire - Competitive Service Appointment,202402,30-34,18,POST-MASTER'S,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,44,RI,RHODE ISLAND,US,UNITED STATES,116820,13
EP,ENVIRONMENTAL PROTECTION AGENCY,EP00,ENVIRONMENTAL PROTECTION AGENCY,AD,New Hire - Excepted Service Appointment,202403,30-34, ,NO DATA REPORTED,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",EF,CONSULTANT (5 U.S.C. 3109),STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),I,INTERMITTENT,1,N,N,N,N,N,N,04,AZ,ARIZONA,US,UNITED STATES,110256,00
EP,ENVIRONMENTAL PROTECTION AGENCY,EP00,ENVIRONMENTAL PROTECTION AGENCY,AC,New Hire - Competitive Service Appointment,202403,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,82764,11
FD,FEDERAL DEPOSIT INSURANCE CORPORATION,FD00,FEDERAL DEPOSIT INSURANCE CORPORATION,AD,New Hire - Excepted Service Appointment,202402,25-29,13,BACHELOR'S DEGREE,2.5,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",CG,CORPORATE GRADED,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,40,SCHEDULE A (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,61586,07
EP,ENVIRONMENTAL PROTECTION AGENCY,EP00,ENVIRONMENTAL PROTECTION AGENCY,AC,New Hire - Competitive Service Appointment,202401,45-49,21,DOCTORATE DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,99200,12
CM,DEPARTMENT OF COMMERCE,CM63,U.S. CENSUS BUREAU,AD,New Hire - Excepted Service Appointment,202401,25-29,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,40,SCHEDULE A (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,,09
BO,OFFICE OF MANAGEMENT AND BUDGET,BO00,OFFICE OF MANAGEMENT AND BUDGET,AC,New Hire - Competitive Service Appointment,202311,25-29,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,20,NONPERMANENT (COMPETITTIVE SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,132368,14
BO,OFFICE OF MANAGEMENT AND BUDGET,BO00,OFFICE OF MANAGEMENT AND BUDGET,AC,New Hire - Competitive Service Appointment,202311,30-34,21,DOCTORATE DEGREE,8.1,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,145604,14
CM,DEPARTMENT OF COMMERCE,CM59,MINORITY BUSINESS DEVELOPMENT AGENCY,AD,New Hire - Excepted Service Appointment,202310,65 OR MORE,18,POST-MASTER'S,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ED,EXPERT (5 U.S.C. 3109),STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,152768,00
BO,OFFICE OF MANAGEMENT AND BUDGET,BO00,OFFICE OF MANAGEMENT AND BUDGET,AC,New Hire - Competitive Service Appointment,202310,55-59,21,DOCTORATE DEGREE,1.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,160889,15
CM,DEPARTMENT OF COMMERCE,CM54,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,AC,New Hire - Competitive Service Appointment,202311,35-39,17,MASTER'S DEGREE,7.4,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,154340,04
CM,DEPARTMENT OF COMMERCE,CM55,INTERNATIONAL TRADE ADMINISTRATION,AC,New Hire - Competitive Service Appointment,202311,30-34,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,112015,13
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AC,New Hire - Competitive Service Appointment,202311,35-39,21,DOCTORATE DEGREE,0.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,118000,03
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AC,New Hire - Competitive Service Appointment,202312,20-24,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,100000,03
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AD,New Hire - Excepted Service Appointment,202311,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,76900,02
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AD,New Hire - Excepted Service Appointment,202310,20-24,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,76900,02
CM,DEPARTMENT OF COMMERCE,CM63,U.S. CENSUS BUREAU,AD,New Hire - Excepted Service Appointment,202311,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,40,SCHEDULE A (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,64957,09
CM,DEPARTMENT OF COMMERCE,CM55,INTERNATIONAL TRADE ADMINISTRATION,AC,New Hire - Competitive Service Appointment,202311,65 OR MORE,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,138150,13
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AD,New Hire - Excepted Service Appointment,202310,25-29,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,35,SCHEDULE D (EXCEPTED SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,80900,02
CM,DEPARTMENT OF COMMERCE,CM54,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,AC,New Hire - Competitive Service Appointment,202310,55-59,21,DOCTORATE DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,20,NONPERMANENT (COMPETITTIVE SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,122459,03
CM,DEPARTMENT OF COMMERCE,CM63,U.S. CENSUS BUREAU,AD,New Hire - Excepted Service Appointment,202312,25-29,13,BACHELOR'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,40,SCHEDULE A (EXCEPTED SERVICE NONPERMANENT),P,PART-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,64957,09
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AC,New Hire - Competitive Service Appointment,202311,35-39,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,24,MD,MARYLAND,US,UNITED STATES,114000,03
CM,DEPARTMENT OF COMMERCE,CM53,BUREAU OF ECONOMIC ANALYSIS,AD,New Hire - Excepted Service Appointment,202401,30-34,13,BACHELOR'S DEGREE,8.7,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",ZP,SCIENTIFIC AND ENGINEERING PROFESSIONAL,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,40,SCHEDULE A (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,13,GA,GEORGIA,US,UNITED STATES,112112,04
BO,OFFICE OF MANAGEMENT AND BUDGET,BO00,OFFICE OF MANAGEMENT AND BUDGET,AC,New Hire - Competitive Service Appointment,202403,40-44,21,DOCTORATE DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,163964,15
CE,COUNCIL OF ECONOMIC ADVISERS,CE00,COUNCIL OF ECONOMIC ADVISERS,AD,New Hire - Excepted Service Appointment,202403,30-34,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",AD,"ADMINISTRATIVELY DETERMINED RATES, NOT ELSEWHERE SPECIFIED",STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,48,OTHER (EXCEPTED SERVICE NONPERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,64000,00
MC,FEDERAL MARITIME COMMISSION,MC00,FEDERAL MARITIME COMMISSION,AA,Transfer In - Individual Transfer,202403,30-34,17,MASTER'S DEGREE,3.3,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,10,CAREER (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,11,DC,DISTRICT OF COLUMBIA,US,UNITED STATES,139395,14
IN,DEPARTMENT OF INTERIOR,IN07,BUREAU OF RECLAMATION,AC,New Hire - Competitive Service Appointment,202403,35-39,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,06,CA,CALIFORNIA,US,UNITED STATES,148636,13
IN,DEPARTMENT OF INTERIOR,IN07,BUREAU OF RECLAMATION,AC,New Hire - Competitive Service Appointment,202401,30-34,17,MASTER'S DEGREE,0.0,0110,ECONOMIST,01,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",GS,GENERAL SCHEDULE,STEM OCCUPATIONS,SCIENCE OCCUPATIONS,8,ALL OTHER POSITIONS,15,CAREER-CONDITIONAL (COMPETITIVE SERVICE PERMANENT),F,FULL-TIME,1,N,N,N,N,N,N,06,CA,CALIFORNIA,US,UNITED STATES,124988,12
