AGYSUB,ACC,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AF13,AC,201808,D,21,13,C,51,0110,1,GS-13,I,20,F,2,1,096970,03.1
AF3Q,AA,201501,D,13,11,D,51,0110,1,GS-11,G,10,F,1,1,070095,05.4
AF3Q,AA,201809,E,13,13,E,51,0110,1,GS-13,J,15,F,1,1,100203,13.1
AF3Q,AD,201807,B,13,07,A,51,0110,1,GS-07,D,35,F,1,1,045972,00.0
AG02,AC,201506,C,21,11,A,11,0110,1,GS-11,F,15,F,1,1,063722,00.0
AG02,AC,201701,C,13,13,A,11,0110,1,GS-13,I,10,F,1,1,094796,00.0
AG02,AC,201702,D,21,12,A,11,0110,1,GS-12,G,15,F,1,1,079720,00.0
AG02,AC,201607,D,17,11,A,11,0110,1,GS-11,F,15,F,1,1,064650,00.0
AG02,AC,201510,B,13,09,A,11,0110,1,GS-09,E,15,F,1,1,052668,00.0
AG02,AC,201507,C,17,09,A,11,0110,1,GS-09,F,15,F,1,1,068465,00.0
AG02,AC,201511,G,21,11,A,11,0110,1,GS-11,H,15,F,1,1,082840,00.0
AG02,AC,201906,E,21,11,A,11,0110,1,GS-11,I,15,F,1,1,090461,00.0
AG03,AD,201610,E,21,11,A,38,0110,1,GS-11,E,42,F,2,1,059246,00.0
AG03,AA,201605,D,17,14,D,11,0110,1,GS-14,J,10,F,1,1,108887,06.4
AG08,AC,201505,D,17,11,A,29,0110,1,GS-11,E,15,F,1,1,058562,00.0
AG08,AC,201805,E,17,11,A,29,0110,1,GS-11,F,15,F,1,1,061605,00.0
AG08,AC,201610,I,17,12,A,29,0110,1,GS-12,H,15,F,1,1,082949,00.0
AG08,AC,201610,C,13,12,A,29,0110,1,GS-12,G,15,F,1,1,071099,00.0
AG08,AC,201701,F,21,11,A,29,0110,1,GS-11,F,15,F,1,1,060487,00.0
AG08,AC,201809,C,17,09,A,29,0110,1,GS-09,E,15,F,1,1,050918,00.0
AG08,AD,201410,C,17,09,A,29,0110,1,GS-09,D,38,F,1,1,047923,00.0
