AGYSUB,ACC,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AF0B,AC,202210,E,13,07,D,08,0110,1,GS-07,D,0110,15,F,1,1,045595,05.6
AF3Q,AC,202012,E,21,13,A,51,0110,1,GS-13,J,0110,15,F,1,1,102663,00.0
AF3Q,AC,202110,F,13,13,A,31,0110,1,GS-13,J,0110,15,F,1,1,104771,00.0
AG02,AA,202108,F,14,13,E,08,0110,1,GS-13,M,0110,10,F,1,1,131337,12.9
AG02,AC,202204,G,17,12,G,37,0110,1,GS-12,J,0110,15,F,1,1,107385,20.8
AG02,AC,202209,I,21,13,A,13,0110,1,GS-13,L,0110,15,F,1,1,129472,00.0
AG02,AC,201911,D,13,12,A,11,0110,1,GS-12,I,0110,15,F,1,1,091740,00.0
AG02,AC,202005,D,17,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,072030,00.0
AG02,AC,202209,D,21,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,074950,00.0
AG02,AC,202307,E,17,12,A,11,0110,1,GS-12,I,0110,15,F,1,1,094199,00.0
AG02,AC,202208,C,13,11,A,17,0110,1,GS-11,G,0110,15,F,1,1,073611,00.0
AG02,AC,201910,F,21,12,A,11,0110,1,GS-12,H,0110,15,F,1,1,083398,00.0
AG02,AC,202005,C,17,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,072030,00.0
AG02,AC,202009,G,17,12,A,11,0110,1,GS-12,K,0110,15,F,1,1,112240,00.0
AG02,AC,202009,F,21,12,A,11,0110,1,GS-12,J,0110,15,F,1,1,103605,00.0
AG02,AC,202101,C,17,12,B,11,0110,1,GS-12,H,0110,15,F,1,1,087198,01.4
AG02,AC,202201,D,04,12,A,11,0110,1,GS-12,H,0110,15,F,1,1,089834,00.0
AG02,AC,202201,H,04,12,A,08,0110,1,GS-12,G,0110,15,F,1,1,079363,00.0
AG02,AC,202205,E,17,13,A,11,0110,1,GS-13,J,0110,15,F,1,1,106823,00.0
AG02,AC,202209,C,21,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,074950,00.0
AG02,AC,202306,C,14,11,A,17,0110,1,GS-11,F,0110,15,F,1,1,069107,00.0
AG02,AC,202306,H,21,13,A,37,0110,1,GS-13,K,0110,15,F,1,1,116294,00.0
AG03,AC,202107,E,04,12,A,06,0110,1,GS-12,H,0110,15,F,1,1,084452,00.0
AG07,AC,202009,B,17,12,A,11,0110,1,GS-12,H,0110,15,F,1,1,086335,00.0
AG07,AC,202301,D,17,13,A,25,0110,1,GS-13,L,0110,15,F,1,1,125569,00.0
AG08,AC,202005,C,17,11,A,29,0110,1,GS-11,F,0110,15,F,1,1,064660,00.0
AG08,AC,202005,C,04,12,C,29,0110,1,GS-12,G,0110,15,F,1,1,077501,04.0
AG08,AC,202007,B,13,09,A,29,0110,1,GS-09,E,0110,15,F,1,1,053443,00.0
AG08,AC,202201,E,17,12,A,29,0110,1,GS-12,H,0110,15,F,1,1,080367,00.0
AG10,AC,202204,F,21,13,D,11,0110,1,GS-13,K,0110,10,F,1,1,113944,07.2
AG10,AC,202208,C,04,12,A,11,0110,1,GS-12,H,0110,15,F,1,1,089834,00.0
AG10,AC,202206,C,01,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AC,202309,C,17,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,064957,00.0
AG10,AC,202207,C,04,09,A,11,0110,1,GS-09,F,0110,15,F,1,1,061947,00.0
AG10,AC,202212,C,17,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,074950,00.0
AG10,AD,201910,D,17,09,A,11,0110,1,GS-09,E,0110,35,F,1,1,057510,00.0
AG10,AD,201912,C,13,09,A,11,0110,1,GS-09,E,0110,35,F,1,1,057510,00.0
AG10,AD,202103,D,17,09,A,11,0110,1,GS-09,F,0110,35,F,1,1,060129,00.0
AG10,AC,202008,C,13,09,A,11,0110,1,GS-09,E,0110,15,F,1,1,059534,00.0
AG10,AC,202008,C,13,11,A,11,0110,1,GS-11,G,0110,15,F,1,1,072030,00.0
AG10,AC,202008,D,13,07,A,11,0110,1,GS-07,D,0110,15,F,1,1,048670,00.0
AG10,AD,202010,C,17,09,A,11,0110,1,GS-09,E,0110,35,F,1,1,059534,00.0
AG10,AD,202012,B,13,07,A,11,0110,1,GS-07,D,0110,35,F,1,1,048670,00.0
AG10,AD,202012,C,17,09,A,11,0110,1,GS-09,E,0110,35,F,1,1,059534,00.0
