AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF3C,12,K,21,15,J,0110,1,GS-15,O,XXXX,8,10,F,1,201509,1,"$156,727",35.3
AF3Q,51,E,17,13,E,0110,1,GS-13,K,XXXX,8,10,F,1,201509,1,"$112,014",13.1
AF3Q,51,E,13,11,D,0110,1,GS-11,G,XXXX,8,10,F,1,201509,1,"$70,095",6.1
AF3Q,51,F,17,14,E,0110,1,GS-14,L,XXXX,8,10,F,1,201509,1,"$125,213",11.4
AF3Q,51,E,13,13,F,0110,1,GS-13,K,XXXX,8,10,F,1,201509,1,"$118,069",15.0
AF3Q,51,E,17,13,E,0110,1,GS-13,J,XXXX,8,10,F,1,201509,1,"$108,987",13.4
AF3Q,51,E,18,14,E,0110,1,GS-14,L,XXXX,2,10,F,1,201509,1,"$125,213",13.1
AG02,11,I,21,13,F,0110,1,GS-13,K,XXXX,8,10,F,1,201509,1,"$112,014",15.8
AG02,11,E,17,13,D,0110,1,GS-13,J,XXXX,5,10,F,1,201509,1,"$105,960",9.2
AG02,11,I,14,12,H,0110,1,GS-12,I,XXXX,8,10,F,1,201509,1,"$99,296",29.3
AG02,11,H,21,14,E,0110,1,GS-14,M,XXXX,8,10,F,1,201509,1,"$132,368",14.3
AG02,11,I,13,12,E,0110,1,GS-12,I,XXXX,8,10,F,1,201509,1,"$91,657",14.8
AG02,11,C,21,11,A,0110,1,GS-11,F,XXXX,8,15,F,1,201509,1,"$63,722",0.2
AG02,11,D,17,12,C,0110,1,GS-12,H,XXXX,8,10,F,1,201509,1,"$81,471",4.4
AG02,37,E,13,13,F,0110,1,GS-13,I,XXXX,8,10,P,2,201509,1,"$97,480",15.3
AG02,11,J,21,14,G,0110,1,GS-14,M,XXXX,5,10,F,1,201509,1,"$139,523",22.6
AG02,11,C,17,09,A,0110,1,GS-09,F,XXXX,8,15,F,1,201509,1,"$68,465",0.2
AG02,47,F,21,14,D,0110,1,GS-14,K,XXXX,8,10,F,1,201509,1,"$115,072",7.2
AG02,11,I,21,14,F,0110,1,GS-14,L,XXXX,5,10,F,1,201509,1,"$128,790",15.8
AG02,11,I,21,14,F,0110,1,GS-14,M,XXXX,8,10,F,1,201509,1,"$135,945",19.7
AG02,11,H,21,15,C,0110,1,GS-15,N,XXXX,2,10,F,1,201509,1,"$147,288",3.3
AG02,11,I,17,15,F,0110,1,GS-15,O,XXXX,2,10,F,1,201509,1,"$158,700",18.2
AG02,11,C,17,11,B,0110,1,GS-11,F,XXXX,8,15,F,1,201509,1,"$63,722",1.3
AG02,25,D,17,12,D,0110,1,GS-12,H,XXXX,8,10,F,1,201509,1,"$84,410",5.6
AG02,11,I,17,13,F,0110,1,GS-13,J,XXXX,8,10,F,1,201509,1,"$105,960",17.6
AG02,11,I,13,13,J,0110,1,GM-13,K,XXXX,5,10,F,1,201509,1,"$118,069",36.4
AG03,01,E,17,12,E,0110,1,GS-12,H,XXXX,8,10,F,1,201509,1,"$86,574",13.1
AG07,11,K,21,,I,0110,1,SL-00,R,XXXX,2,10,F,1,201509,1,"$182,347",34.7
AG08,29,I,17,14,H,0110,1,GS-14,L,XXXX,8,10,F,1,201509,1,"$124,936",25.4
AG08,29,D,13,11,B,0110,1,GS-11,E,XXXX,8,15,F,1,201509,1,"$58,562",1.8
AG08,29,H,13,13,H,0110,1,GS-13,J,XXXX,8,10,F,1,201509,1,"$105,725",28.6
