AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS
AF0B,08,E,13,07,D,0110,1,99,GS-07,04,0110,8,15,F,1,202309,1,047742,06.5
AF3Q,31,F,17,13,B,0110,1,99,GS-13,11,0110,8,15,F,1,202309,1,115917,01.9
AG01,11,F,17,15,E,0110,1,99,GS-15,18,0110,5,10,F,1,202309,1,181648,13.8
AG02,08,I,21,14,G,0110,1,99,GS-14,16,0110,2,10,F,1,202309,1,167608,21.9
AG02,11,K,17,13,H,0110,1,99,GS-13,14,0110,8,10,F,1,202309,1,141884,25.6
AG02,51,K,21,14,G,0110,1,99,GS-14,17,0110,5,10,F,1,202309,1,172075,23.8
AG02,37,H,17,13,G,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,119715,22.3
AG02,11,J,13,13,J,0110,1,99,GS-13,14,0110,8,10,F,1,202309,1,145617,35.8
AG02,11,J,21,14,G,0110,1,99,GS-14,17,0110,5,10,F,1,202309,1,172075,22.4
AG02,13,I,21,13,G,0110,1,99,GS-13,13,0110,8,15,F,1,202309,1,135209,23.9
AG02,11,K,21,13,G,0110,1,99,GS-13,14,0110,8,10,F,1,202309,1,145617,23.8
AG02,11,J,17,13,J,0110,1,99,GS-13,14,0110,8,10,P,2,202309,1,145617,38.5
AG02,11,G,21,14,F,0110,1,99,GS-14,15,0110,5,10,F,1,202309,1,158840,17.8
AG02,11,K,21,14,I,0110,1,99,GS-14,17,0110,5,10,F,1,202309,1,172075,30.6
AG02,11,G,17,15,G,0110,1,99,GS-15,16,0110,2,10,F,1,202309,1,166079,21.7
AG02,11,G,17,14,F,0110,1,99,GS-14,15,0110,5,10,F,1,202309,1,150016,17.2
AG02,37,G,13,13,G,0110,1,99,GS-13,12,0110,8,10,P,2,202309,1,126555,23.3
AG02,11,G,13,14,G,0110,1,99,GS-14,16,0110,5,10,F,1,202309,1,167663,21.4
AG02,08,G,17,13,G,0110,1,99,GS-13,12,0110,8,10,F,1,202309,1,128043,24.6
AG02,11,H,21,13,C,0110,1,99,GS-13,12,0110,8,10,F,1,202309,1,123216,03.7
AG02,11,E,13,12,C,0110,1,99,GS-12,10,0110,8,10,F,1,202309,1,106759,03.8
AG02,11,F,17,15,E,0110,1,99,GS-15,16,0110,2,10,F,1,202309,1,166079,13.6
AG02,11,D,21,11,A,0110,1,99,GS-11,07,0110,8,15,F,1,202309,1,078592,00.9
AG02,53,E,17,14,D,0110,1,99,GS-14,13,0110,5,10,F,1,202309,1,133765,09.3
AG02,08,E,21,14,D,0110,1,99,GS-14,13,0110,5,10,F,1,202309,1,137526,08.2
AG02,11,D,17,13,D,0110,1,99,GS-13,13,0110,8,10,F,1,202309,1,138150,08.2
AG02,11,E,17,12,A,0110,1,99,GS-12,09,0110,8,15,F,1,202309,1,094199,00.1
AG02,17,C,13,11,B,0110,1,99,GS-11,07,0110,8,15,F,1,202309,1,079556,01.0
AG02,51,G,21,13,C,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,119482,03.9
AG02,11,G,21,13,B,0110,1,99,GS-13,12,0110,8,15,F,1,202309,1,123216,02.9
AG02,51,C,13,12,B,0110,1,99,GS-12,08,0110,8,15,F,1,202309,1,086300,02.6
AG02,05,D,04,13,B,0110,1,99,GS-13,09,0110,8,15,F,1,202309,1,098496,01.7
AG02,08,H,04,13,B,0110,1,99,GS-13,10,0110,8,15,F,1,202309,1,105062,01.6
AG02,11,F,17,13,B,0110,1,99,GS-13,11,0110,8,15,F,1,202309,1,115749,01.3
AG02,11,C,21,11,A,0110,1,99,GS-11,07,0110,8,15,F,1,202309,1,078592,00.9
AG02,17,C,14,11,A,0110,1,99,GS-11,06,0110,8,15,F,1,202309,1,069107,00.3
AG02,37,H,21,13,A,0110,1,99,GS-13,11,0110,8,15,F,1,202309,1,116294,00.3
AG03,01,F,17,11,F,0110,1,99,GS-11,08,0110,8,10,F,1,202309,1,080623,18.2
AG03,48,G,13,11,E,0110,1,99,GS-11,07,0110,8,10,F,1,202309,1,073713,13.1
AG03,06,F,04,12,B,0110,1,99,GS-12,09,0110,4,15,F,1,202309,1,097301,02.2
AG07,11,J,17,13,I,0110,1,99,GS-13,14,0110,8,10,F,1,202309,1,145617,33.3
AG07,11,K,21,14,I,0110,1,99,GS-14,17,0110,8,10,F,1,202309,1,172075,31.7
AG07,11,C,17,13,B,0110,1,99,GS-13,11,0110,8,15,F,1,202309,1,115749,02.9
AG07,25,D,17,13,A,0110,1,99,GS-13,12,0110,8,15,F,1,202309,1,125569,00.7
AG08,28,F,13,13,F,0110,1,99,GS-13,12,0110,8,10,F,1,202309,1,121477,17.4
AG08,29,J,13,13,J,0110,1,99,GS-13,12,0110,8,10,F,1,202309,1,129889,36.6
AG08,29,F,13,13,G,0110,1,99,GS-13,12,0110,8,10,F,1,202309,1,129889,20.3
AG08,29,I,11,13,H,0110,1,99,GS-13,12,0110,8,10,F,1,202309,1,129889,25.3
AG08,20,F,17,14,F,0110,1,99,GS-14,14,0110,2,10,F,1,202309,1,145619,15.8
AG08,29,E,17,13,E,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,113238,13.6
AG08,29,F,08,13,E,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,113238,10.9
AG08,20,E,13,13,D,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,113238,09.8
AG08,29,J,13,13,D,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,119898,09.0
AG08,06,E,17,14,D,0110,1,99,GS-14,12,0110,8,10,F,1,202309,1,128031,08.9
AG08,20,J,17,13,D,0110,1,99,GS-13,11,0110,8,10,F,1,202309,1,116568,06.9
AG08,29,G,21,13,D,0110,1,99,GS-13,10,0110,8,10,F,1,202309,1,109907,06.7
