AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AF3C,SD,201603,K,21,15,J,12,0110,1,GS-15,O,10,F,1,1,157609,35.8
AF3Q,SA,201603,F,17,14,E,51,0110,1,GS-14,M,10,F,1,1,130666,11.9
AF3Q,SA,201811,F,13,13,F,51,0110,1,GS-13,L,10,F,1,1,126062,18.2
AF3Q,SA,201712,E,13,13,D,51,0110,1,GS-13,I,10,F,1,1,094796,08.3
AF3Q,SA,201804,E,17,13,F,51,0110,1,GS-13,L,10,F,1,1,122830,15.6
AG02,SA,201802,D,17,12,B,11,0110,1,GS-12,H,15,F,1,1,081548,01.6
AG02,SA,201506,H,13,13,E,11,0110,1,GS-13,J,10,F,1,1,108987,14.1
AG02,SC,201807,C,13,09,B,11,0110,1,GS-09,E,15,F,1,1,059983,02.8
AG02,SJ,201506,D,21,11,A,11,0110,1,GS-11,F,35,F,1,1,065847,00.9
AG02,SC,201605,D,17,13,D,11,0110,1,GS-13,I,10,F,1,1,092145,05.2
AG02,SD,201508,K,21,13,F,51,0110,1,GS-13,K,10,P,2,1,115041,18.0
AG02,SD,201507,J,17,14,J,45,0110,1,GS-14,L,10,F,1,1,128223,36.1
AG02,SC,201608,C,04,09,A,11,0110,1,GS-09,E,15,F,1,1,053435,00.9
AG02,SD,201809,J,21,14,G,11,0110,1,GS-14,N,10,F,1,1,148967,22.7
AG02,SD,201812,J,13,12,F,11,0110,1,GS-12,J,10,F,1,1,100576,18.0
AG02,SC,201906,D,13,13,D,11,0110,1,GS-13,J,10,F,1,1,105782,08.1
AG02,SD,201907,J,21,13,F,19,0110,1,GS-13,K,10,F,1,1,112356,19.4
AG02,SD,201908,J,13,13,J,11,0110,1,GM-13,L,10,F,1,1,128920,40.3
AG03,SC,201710,E,17,13,F,01,0110,1,GS-13,I,10,F,1,1,097258,15.2
AG03,SA,201807,F,21,12,B,38,0110,1,GS-12,G,42,F,2,1,073375,01.8
AG08,SD,201504,J,13,13,H,29,0110,1,GS-13,J,10,F,1,1,105725,25.1
AG08,SD,201904,J,17,14,H,29,0110,1,GS-14,M,10,F,1,1,137366,29.1
AG10,SA,201806,G,17,15,D,11,0110,1,GS-15,N,42,F,2,1,143774,07.2
AG10,SF,201806,H,13,12,H,11,0110,1,GS-12,J,10,F,1,1,100576,26.4
AG10,SC,201612,D,13,11,B,11,0110,1,GS-11,F,15,F,1,1,064650,02.5
AG10,SJ,201612,B,04,04,C,11,0119,3,GS-04,C,35,F,1,1,031521,03.3
AG10,SA,201701,C,17,11,B,11,0110,1,GS-11,F,15,F,1,1,064650,02.5
AG10,SJ,201707,A,08,03,A,11,0119,3,GS-03,B,40,F,2,1,028886,00.1
