AGYSUB,SEP,EFDATE,AGELVL,EDLVL,GSEGRD,LOSLVL,LOC,OCC,PATCO,PPGRD,SALLVL,STEMOCC,TOA,WORKSCH,WORKSTAT,COUNT,SALARY,LOS
AF3Q,SA,201910,E,17,13,E,51,0110,1,GS-13,J,0110,15,F,1,1,105782,14.2
AF3Q,SA,202309,F,21,,B,51,0110,1,DR-02,K,0110,15,F,1,1,117725,02.8
AF3Q,SC,202207,C,13,,C,51,0110,1,DR-01,I,0110,10,F,1,1,094687,04.0
AG02,SD,202207,K,21,14,F,08,0110,1,GS-14,N,0110,10,F,1,1,147529,18.3
AG02,SD,202003,K,17,14,G,11,0110,1,GS-14,O,0110,10,F,1,1,157709,20.3
AG02,SD,202010,J,17,15,G,37,0110,1,GS-15,P,0110,10,F,1,1,165654,24.8
AG02,SD,202306,J,17,13,F,11,0110,1,GS-13,N,0110,10,F,1,1,141884,19.5
AG02,SD,202112,J,14,12,J,11,0110,1,GS-12,K,0110,10,F,1,1,113362,35.0
AG02,SC,202111,E,17,13,E,42,0110,1,GS-13,J,0110,10,P,2,1,101358,11.5
AG02,SA,202109,D,17,12,B,11,0110,1,GS-12,H,0110,15,F,1,1,087198,01.3
AG02,SC,202110,I,21,15,E,11,0110,1,GS-15,Q,0110,10,F,1,1,172500,12.0
AG02,SA,202205,H,21,13,D,11,0110,1,GS-13,K,0110,10,F,1,1,113944,06.5
AG02,SA,202301,D,17,12,B,11,0110,1,GS-12,I,0110,15,F,1,1,097339,02.7
AG02,SC,202112,G,17,12,B,11,0110,1,GS-12,K,0110,15,F,1,1,113362,01.2
AG02,SF,202207,D,04,13,E,11,0110,1,GS-13,K,0110,10,F,1,1,117505,11.8
AG07,SD,202001,K,21,,J,11,0110,1,SL-00,S,0110,10,F,1,1,192300,38.9
AG08,SC,202106,E,17,13,D,29,0110,1,GS-13,J,0110,10,F,1,1,105492,06.1
AG10,SB,201911,F,22,14,C,11,0110,1,GS-14,L,0110,42,F,2,1,128911,04.2
AG10,SD,202306,J,17,13,H,11,0110,1,GS-13,N,0110,10,F,1,1,145617,25.0
AG10,SD,202303,K,17,14,J,11,0110,1,GS-14,Q,0110,10,F,1,1,172075,38.3
AG10,SC,202207,I,13,14,G,11,0110,1,GS-14,O,0110,10,F,1,1,155687,23.6
AG10,SD,201911,K,17,13,H,11,0110,1,GS-13,L,0110,10,F,1,1,128920,27.9
AG10,SD,202209,K,17,14,I,11,0110,1,GS-14,P,0110,10,F,1,1,164102,34.3
AG10,SD,202103,I,13,14,I,11,0110,1,GS-14,O,0110,10,S,2,1,159286,32.8
AG10,SD,202202,J,18,14,I,11,0110,1,GS-14,P,0110,10,F,1,1,164102,33.4
AG10,SD,202110,K,17,13,H,11,0110,1,GS-13,M,0110,10,F,1,1,134798,27.1
AG10,SA,202002,I,17,15,E,11,0110,1,GS-15,Q,0110,42,F,2,1,170800,10.8
AG10,SA,202008,D,04,12,D,11,0110,1,GS-12,I,0110,10,F,1,1,094970,05.4
