DATECODE	PAYPLAN	GRD	EMPCOUNT	AVGSAL	AVGLOS
202503	GS	12	311959	109709	13.1
202503	GS	13	280522	133513	14.9
202503	GS	11	208051	89602	11.1
202503	GS	14	147667	160692	17
202503	GS	9	139481	72937	9.5
202503	GS	7	110507	60616	8.6
202503	GS	6	98352	57288	7.7
202503	GS	5	68519	48472	6.4
202503	GS	15	65304	186965	19
202503	VN	2	48940	119939	8.6
202503	GS	8	47646	68621	11.5
202503	WG	10	39427	74873	9.1
202503	SV	F	35625	70597	9.9
202503	NH	3	35300	122144	11.7
202503	VN	3	30795	156460	11.4
202503	VM	PH	20646	306161	10.2
202503	NH	4	20173	171879	17
202503	GS	4	19280	42016	5.8
202503	GS	10	14619	85012	10.8
202503	WG	8	14162	64747	6.8
202503	GG	13	12905	136895	10.7
202503	WG	2	12611	54362	6.5
202503	ND	4	11357	130985	12.8
202503	GL	8	10689	74285	10.7
202503	WG	11	10675	79296	11
202503	AD	0	10629	88370	4.8
202503	WG	9	9188	70028	10
202503	AD	PH	9108	312589	9.7
202503	WG	5	9034	54285	6
202503	GG	12	9001	110878	9.8
202503	VN	1	9001	100208	4.9
202503	WG	6	8837	57498	8.1
202503	ES	0	8270	214332	22.4
202503	SV	D	7587	45945	0.6
202503	GL	9	7399	76128	8.9
202503	FV	J	6910	167035	19.4
202503	DB	3	6769	141111	12.7
202503	SV	G	6761	90061	14.1
202503	GG	14	6581	164138	14.5
202503	WG	7	6546	61824	8.9
202503	IR	FM	6231	122605	19.1
202503	WL	10	6193	85582	13.2
202503	WS	10	5783	100006	16
202503	FV	I	4987	130053	15.9
202503	NT	5	4968	141861	12.8
202503	IM	1	4906	61587	3.7
202503	SV	I	4595	136641	17.7
202503	GL	7	4586	65125	3.7
202503	SV	E	4570	53932	2.1
202503	FV	H	4546	107561	13.7
202503	GS	3	4544	39009	5.1
202503	NH	2	4505	84120	7.6
202503	WG	4	4353	49477	7.5
202503	RG	0	4307	138667	7
202503	AT	LH	4273	191637	14.7
202503	DP	4	4214	143374	13.2
202503	DB	4	4178	173501	19
202503	WG	12	4146	84867	10.4
202503	NT	4	4142	105409	10.3
202503	IC	12	4069	104305	6.1
202503	SV	H	3603	107746	15
202503	AD	29	3581	172829	12.2
202503	AD	2	3560	119877	8.3
202503	WG	3	3497	46978	7.4
202503	ND	5	3301	178852	20.9
202503	ZP	4	3178	166097	15.5
202503	WS	8	3173	88227	14.5
202503	GG	11	3041	89818	7.9
202503	EI	0	3034	120814	7.9
202503	DE	3	3028	128969	12.2
202503	GG	4	3003	39415	2.1
202503	GG	15	2770	188920	17.2
202503	NO	5	2662	143116	12.6
202503	WT	0	2424	57061	2.6
202503	SK	14	2386	225530	14.6
202503	EF	0	2357	52206	5.3
202503	FV	K	2321	205073	22.7
202503	SV	J	2313	163347	18.7
202503	TP	AA	2240	29634	1.6
202503	IC	13	2224	126395	7.8
202503	ZP	3	2217	112760	9.8
202503	GL	5	2202	55854	1.1
202503	GP	15	2198	295644	10.5
202503	WS	9	2184	93929	14.6
202503	FG	14	2178	156492	18.2
202503	IM	2	2176	85468	7.6
202503	IC	11	2167	85439	5.2
202503	AT	KH	2127	182847	14.2
202503	WS	11	2127	100483	16.7
202503	ND	3	2089	97016	3.9
202503	GL	10	2004	88073	5.4
202503	GL	6	1990	59974	2.6
202503	WL	11	1812	87923	14.5
202503	AD	3	1753	160760	9.2
202503	ZA	4	1722	165860	17.5
202503	VN	4	1711	181121	14.5
202503	FG	13	1702	125743	12.9
202503	AD	4	1690	136891	10.4
202503	WB	0	1661	127201	13.7
202503	FV	G	1659	88936	7.9
202503	CG	14	1598	208013	18.8
202503	RF	0	1564	246718	20.4
202503	BB	0	1557	121955	14
202503	IR	SM	1554	184307	24.8
202503	NO	4	1543	112878	12
202503	TP	CE	1534	95760	14.9
202503	DO	2	1522	116007	11.2
202503	FV	F	1496	77811	9.5
202503	AL	3	1474	205895	19.9
202503	GP	14	1434	249756	9.1
202503	DP	3	1403	112050	6.1
202503	NB	6	1386	211573	17.4
202503	ZA	3	1382	118948	13.3
202503	DP	5	1364	178327	21.7
202503	AT	JH	1362	171315	14.2
202503	DR	3	1336	156204	15.3
202503	WS	14	1327	120452	20.2
202503	WM	9	1313	47059	8.3
202503	GG	9	1294	74290	4.8
202503	DR	2	1281	124475	8
202503	LE	1	1252	96098	7.5
202503	AD	5	1202	147566	14.3
202503	SL	0	1173	208718	21.3
202503	WS	4	1171	361334	12.6
202503	DB	2	1168	85856	3.6
202503	VM	DE	1168	247461	10.2
202503	NM	5	1158	183545	21
202503	IC	9	1153	70450	4
202503	WG	13	1148	89924	10.9
202503	10_OR_LESS	10_OR_LESS	1116	111180	14.7
202503	NB	5	1087	155037	13.9
202503	ZP	5	1084	193162	20.7
202503	AT	HH	1074	129619	12.1
202503	TP	CD	1053	78783	6.3
202503	NM	4	1037	158113	16.5
202503	AD	D2	1024	183453	11
202503	IH	0	1017	53653	0.9
202503	DE	4	1011	160105	14.9
202503	GG	7	987	61785	5
202503	AD	1	977	100503	5.2
202503	WS	2	969	65787	11.1
202503	AT	GH	917	117165	10.5
202503	CG	13	909	167012	16.3
202503	WL	9	889	77748	14.1
202503	ND	2	865	79292	1.1
202503	SV	K	862	190388	20.3
202503	DE	2	855	87429	9.6
202503	AT	IH	854	145447	13.8
202503	NP	4	838	187976	20.3
202503	DJ	3	829	116004	12.8
202503	CG	15	828	240060	18.9
202503	NP	3	828	134746	9.7
202503	WM	10	824	52163	9.4
202503	AD	7	823	143641	15.4
202503	WS	6	819	79773	13.3
202503	WL	2	800	47628	8.5
202503	NJ	4	799	112545	14.9
202503	CY	2	796	50450	15.1
202503	DS	5	765	137907	9.2
202503	CG	12	755	135330	13.9
202503	DA	5	749	131978	13.1
202503	CM	0	747	256344	23.1
202503	AT	FH	725	107655	10.3
202503	NA	2	724	40590	4.6
202503	DR	4	719	184385	22
202503	IJ	0	714	203172	14.2
202503	NQ	3	706	147521	16.7
202503	AT	EH	701	98446	9.2
202503	WD	6	693	95420	16.3
202503	FP	2	692	163497	8.7
202503	EH	0	692	42789	2.6
202503	FP	3	691	126906	7.6
202503	AD	16	688	123602	17.5
