fiscal_year,gender,n,pct_with_bonus,median_bonus_conditional,mean_bonus_conditional
2015,female,1220,27.0,812.5,1204.5
2015,male,2428,25.9,825.0,1205.6
2016,female,1191,0.0,,
2016,male,2508,0.0,,
2017,female,1191,0.0,,
2017,male,2473,0.0,,
2018,female,1173,0.0,,
2018,male,2404,0.0,,
2019,female,1134,0.0,,
2019,male,2373,0.0,,
2020,female,1217,0.0,,
2020,male,2417,0.0,,
2021,female,1210,0.0,,
2021,male,2448,0.0,,
2022,female,1270,0.0,,
2022,male,2473,0.0,,
2023,female,1346,0.0,,
2023,male,2538,0.0,,
2024,female,1350,0.0,,
2024,male,2569,0.0,,
