,period,date,source,headcount,mean_salary_nominal,mean_salary_2025usd,median_salary_2025usd,mean_los,phd_share,share_gs14plus,headcount_vs_1998,coverage_note
0,Sep 1998,199809,FedScope cube,5418,68220,133354,129020,15.0,0.198,0.232,0.0,includes ~550 State Dept positions reclassified out of 0110 after 2005
1,Sep 1999,199909,FedScope cube,4990,69808,132964,128942,14.8,0.215,0.259,-0.079,includes ~550 State Dept positions reclassified out of 0110 after 2005
2,Sep 2000,200009,FedScope cube,4936,73238,134838,130786,14.9,0.219,0.267,-0.089,includes ~550 State Dept positions reclassified out of 0110 after 2005
3,Sep 2001,200109,FedScope cube,4982,75962,136245,132276,14.8,0.221,0.271,-0.08,includes ~550 State Dept positions reclassified out of 0110 after 2005
4,Sep 2002,200209,FedScope cube,5036,79471,140413,136517,14.7,0.221,0.278,-0.071,includes ~550 State Dept positions reclassified out of 0110 after 2005
5,Sep 2003,200309,FedScope cube,5016,83632,144414,140908,14.8,0.224,0.284,-0.074,includes ~550 State Dept positions reclassified out of 0110 after 2005
6,Sep 2004,200409,FedScope cube,5012,87373,147139,143497,14.7,0.225,0.276,-0.075,includes ~550 State Dept positions reclassified out of 0110 after 2005
7,Sep 2005,200509,FedScope cube,4981,90800,146066,142413,14.6,0.23,0.277,-0.081,includes ~550 State Dept positions reclassified out of 0110 after 2005
8,Sep 2006,200609,FedScope cube,4417,94947,149649,146297,14.7,0.254,0.308,-0.185,
9,Sep 2007,200709,FedScope cube,4305,98189,150611,148480,14.9,0.261,0.306,-0.205,
10,Sep 2008,200809,FedScope cube,4276,103077,150670,148073,15.0,0.265,0.307,-0.211,
11,Sep 2009,200909,FedScope cube,4462,106241,157318,154464,14.3,0.266,0.297,-0.176,
12,Sep 2010,201009,FedScope cube,4564,109180,159841,156414,14.0,0.277,0.306,-0.158,
13,Sep 2011,201109,FedScope cube,4496,110265,155418,150589,14.0,0.279,0.304,-0.17,
14,Sep 2012,201209,FedScope cube,4492,111411,153967,149734,14.0,0.286,0.309,-0.171,
15,Sep 2013,201309,FedScope cube,4399,112538,153703,148916,14.1,0.29,0.316,-0.188,
16,Sep 2014,201409,FedScope cube,4411,114108,153306,148131,14.0,0.289,0.317,-0.186,
17,Sep 2015,201509,FedScope cube,4469,115595,155361,149053,13.7,0.292,0.316,-0.175,
18,Sep 2016,201609,FedScope cube,4629,116268,154011,148169,13.2,0.288,0.309,-0.146,
19,Sep 2017,201709,FedScope cube,4507,119883,155330,149982,13.6,0.285,0.318,-0.168,
20,Sep 2018,201809,FedScope cube,4347,123999,157086,151510,14.0,0.286,0.326,-0.198,
21,Sep 2019,201909,FedScope cube,4281,126383,157413,152340,14.0,0.281,0.32,-0.21,
22,Sep 2020,202009,FedScope cube,4441,128471,157849,154026,13.4,0.28,0.311,-0.18,
23,Sep 2021,202109,FedScope cube,4552,129520,150999,147130,13.0,0.288,0.318,-0.16,
24,Sep 2022,202209,FedScope cube,4654,133097,143406,140545,12.7,0.288,0.326,-0.141,
25,Sep 2023,202309,FedScope cube,4883,139057,144483,142117,12.3,0.29,0.32,-0.099,
26,Sep 2024,202409,FedScope cube,4998,146848,148942,146097,12.4,0.288,0.32,-0.078,
27,Mar 2025,202503,FedScope record-level,4888,152416,152416,148716,12.5,0.297,,-0.098,
