direction,action_type,2024Q2,2024Q3,2024Q4,2025Q1,total,q1_2025_share
accession,New Hire - Competitive Service Appointment,59,94,47,25,225,0.111
accession,New Hire - Excepted Service Appointment,14,44,8,8,74,0.108
accession,Transfer In - Individual Transfer,5,7,2,3,17,0.176
accession,New Hire - Senior Executive Service (SES) Appt,0,0,1,0,1,0.0
separation,Quit,22,42,22,50,136,0.368
separation,Retirement - Voluntary,14,7,31,38,90,0.422
separation,Transfer Out - Individual Transfer,17,18,18,13,66,0.197
separation,Termination (Expired Appt/Other),0,6,4,18,28,0.643
separation,Other Separation,4,7,6,10,27,0.37
separation,Retirement - Early Out,0,1,0,6,7,0.857
separation,Retirement - Other,0,0,0,2,2,1.0
