period,source,headcount,mean_salary,median_salary
FY2015,FedsDataCenter (FOIA annual),4266,116179,112002.0
FY2016,FedsDataCenter (FOIA annual),4606,116322,112142.0
FY2017,FedsDataCenter (FOIA annual),4380,120706,116914.0
FY2018,FedsDataCenter (FOIA annual),4439,123167,119201.0
FY2019,FedsDataCenter (FOIA annual),4138,128033,125005.0
FY2020,FedsDataCenter (FOIA annual),4262,129870,126620.0
FY2021,FedsDataCenter (FOIA annual),4344,130750,127766.0
FY2022,FedsDataCenter (FOIA annual),4451,134263,131747.0
FY2023,FedsDataCenter (FOIA annual),4655,140281,137748.0
FY2024,FedsDataCenter (FOIA annual),4718,146848,144567.0
Sep 2024,FedScope (EHRI status),4998,146952,
Mar 2025,FedScope (EHRI status),4888,151094,148716.0
