dimension,category,n,mean_salary,mean_los,share
pay_plan_group,GS,3520,141137.0,12.4,0.754
pay_plan_group,other,1069,184963.0,12.1,0.229
pay_plan_group,SES/ES,81,216734.0,24.2,0.017
gs_grade,13.0,1037,134508.0,11.4,0.295
gs_grade,14.0,879,165672.0,15.5,0.25
gs_grade,12.0,613,110995.0,11.1,0.174
gs_grade,15.0,600,189777.0,17.5,0.17
gs_grade,11.0,218,84655.0,2.8,0.062
gs_grade,9.0,130,68916.0,1.7,0.037
gs_grade,7.0,41,56313.0,1.1,0.012
gs_grade,5.0,2,41004.0,1.0,0.001
appointment,permanent,4506,153583.0,12.8,0.965
appointment,non-permanent,164,120417.0,5.1,0.035
supervisory,ALL OTHER POSITIONS,3844,144650.0,11.0,0.823
supervisory,SUPERVISOR OR MANAGER,668,191250.0,20.2,0.143
supervisory,MANAGEMENT OFFICIAL (CSRA),95,169670.0,16.9,0.02
supervisory,SUPERVISOR (CSRA),44,171699.0,16.6,0.009
supervisory,TEAM LEADER,18,229108.0,17.1,0.004
supervisory,LEADER,1,195200.0,24.6,0.0
age_band,35-39,728,151450.0,7.6,0.156
age_band,40-44,683,161944.0,11.6,0.146
age_band,30-34,666,130620.0,4.4,0.143
age_band,45-49,575,168571.0,14.8,0.123
age_band,25-29,479,98344.0,2.9,0.103
age_band,50-54,431,177413.0,18.0,0.092
age_band,55-59,423,176465.0,23.5,0.091
age_band,60-64,319,179295.0,25.5,0.068
age_band,65 or more,226,184463.0,27.6,0.048
age_band,20-24,140,71228.0,1.5,0.03
education,MASTER'S DEGREE,1459,146949.0,12.5,0.312
education,DOCTORATE DEGREE,1338,179524.0,11.8,0.287
education,BACHELOR'S DEGREE,1168,131367.0,14.6,0.25
education,HIGH SCHOOL GRADUATE OR CERTIFICATE OF EQUIVALENCY,402,142462.0,7.7,0.086
education,POST-MASTER'S,68,163059.0,16.0,0.015
education,POST-BACHELOR'S,62,143984.0,16.8,0.013
education,POST-DOCTORATE,48,178815.0,14.0,0.01
education,FIRST PROFESSIONAL,27,179029.0,15.9,0.006
education,THREE YEARS COLLEGE,17,135979.0,15.5,0.004
education,FOUR YEARS COLLEGE,16,137491.0,13.2,0.003
education,TWO YEARS COLLEGE,13,127400.0,12.0,0.003
education,NO FORMAL EDUCATION OR SOME ELEMENTARY SCHOOL - DID NOT COMPLETE,11,122943.0,9.2,0.002
education,POST-FIRST PROFESSIONAL,9,175993.0,14.5,0.002
education,SOME COLLEGE - LESS THAN ONE YEAR,9,110206.0,5.7,0.002
education,POST-SIXTH YEAR,7,157023.0,13.3,0.001
education,SIXTH-YEAR DEGREE,5,166602.0,18.6,0.001
education,ONE YEAR COLLEGE,4,87987.0,6.9,0.001
education,ASSOCIATE DEGREE,4,101304.0,5.8,0.001
education,SOME HIGH SCHOOL - DID NOT COMPLETE,1,111543.0,5.6,0.0
education,"TERMINAL OCCUPATIONAL PROGRAM - CERTIFICATE OF COMPLETION, DIPLOMA OR EQUIVALENT",1,84601.0,1.2,0.0
education,TERMINAL OCCUPATIONAL PROGRAM - DID NOT COMPLETE,1,156737.0,9.8,0.0
