fiscal_year,Death,Other,Quit,Retirement,Termination,Transfer,total,note
2015,5,1,125,101,21,71,324,full fiscal year
2016,4,2,141,105,26,102,380,full fiscal year
2017,4,7,173,90,27,80,381,full fiscal year
2018,6,6,126,104,38,73,353,full fiscal year
2019,5,6,164,141,23,122,461,full fiscal year
2020,2,5,84,122,16,106,335,full fiscal year
2021,9,5,124,97,35,76,346,full fiscal year
2022,4,7,204,102,18,84,419,full fiscal year
2023,4,7,116,82,15,87,311,full fiscal year
2024,0,14,110,65,9,79,277,full fiscal year
2025,0,16,72,76,20,31,215,PARTIAL - Oct 2024-Mar 2025 only
