fiscal_year,All,BEA,Census Bureau,Dept of Agriculture (incl. ERS),Dept of Commerce (other),Dept of Energy,Dept of HHS,Dept of Labor (incl. BLS),Dept of Treasury,Other
2015,33.4,35.7,39.3,,,31.1,,,,32.0
2016,32.2,31.8,40.0,35.3,27.8,30.5,44.4,33.8,29.0,28.3
2017,32.5,29.1,37.8,34.8,23.1,35.5,43.7,34.0,29.0,29.8
2018,32.8,30.8,36.6,34.6,30.8,36.1,44.6,34.5,29.1,29.8
2019,32.3,30.9,33.3,32.6,27.6,35.6,41.4,34.2,27.9,30.3
2020,33.5,31.7,37.5,34.2,21.9,37.2,40.9,36.0,29.3,30.7
2021,33.1,29.1,34.7,33.3,33.3,32.9,38.9,35.7,32.0,30.7
2022,33.9,30.2,33.1,36.2,42.1,36.4,43.3,36.0,31.0,31.0
2023,34.7,31.1,34.5,38.0,31.6,35.6,44.7,36.9,30.1,31.7
2024,34.4,31.8,34.1,38.3,25.0,33.0,43.9,36.9,30.4,31.5
