year,category,n,n_female,female_pct
1998,government,1,1.0,100.0
1998,international_orgs,2,0.0,0.0
1998,private_sector,2,0.0,0.0
1998,tenure_track,13,2.0,15.4
1998,think_tanks,1,0.0,0.0
1999,central_banks,1,0.0,0.0
1999,international_orgs,1,1.0,100.0
1999,other_academic,2,1.0,50.0
1999,private_sector,1,0.0,0.0
1999,tenure_track,5,0.0,0.0
2000,international_orgs,1,0.0,0.0
2001,private_sector,2,0.0,0.0
2001,tenure_track,8,2.0,25.0
2002,central_banks,1,0.0,0.0
2002,government,1,1.0,100.0
2002,international_orgs,1,1.0,100.0
2002,private_sector,1,0.0,0.0
2002,tenure_track,6,0.0,0.0
2003,central_banks,1,0.0,0.0
2003,private_sector,1,0.0,0.0
2003,tenure_track,13,6.0,46.2
2003,think_tanks,1,0.0,0.0
2004,government,1,1.0,100.0
2004,private_sector,3,1.0,33.3
2004,tenure_track,12,4.0,33.3
2005,central_banks,1,0.0,0.0
2005,government,1,0.0,0.0
2005,international_orgs,1,0.0,0.0
2005,private_sector,3,0.0,0.0
2005,tenure_track,13,7.0,53.8
2006,private_sector,5,1.0,20.0
2006,tenure_track,9,2.0,22.2
2007,central_banks,1,0.0,0.0
2007,government,1,0.0,0.0
2007,other_academic,2,1.0,50.0
2007,private_sector,5,1.0,20.0
2007,tenure_track,7,1.0,14.3
2008,central_banks,1,0.0,0.0
2008,tenure_track,6,0.0,0.0
2009,other_academic,1,0.0,0.0
2009,private_sector,2,1.0,50.0
2009,tenure_track,14,3.0,21.4
2010,central_banks,1,0.0,0.0
2010,international_orgs,1,1.0,100.0
2010,private_sector,1,0.0,0.0
2010,tenure_track,17,2.0,11.8
2010,think_tanks,2,0.0,0.0
2011,central_banks,1,0.0,0.0
2011,international_orgs,1,1.0,100.0
2011,other_academic,2,1.0,50.0
2011,private_sector,2,1.0,50.0
2011,tenure_track,16,6.0,37.5
2012,central_banks,2,0.0,0.0
2012,government,2,1.0,50.0
2012,international_orgs,2,0.0,0.0
2012,other_academic,4,0.0,0.0
2012,private_sector,6,1.0,16.7
2012,tenure_track,15,3.0,20.0
2012,think_tanks,1,1.0,100.0
2013,central_banks,3,1.0,33.3
2013,government,1,0.0,0.0
2013,international_orgs,1,1.0,100.0
2013,other_academic,1,0.0,0.0
2013,private_sector,4,2.0,50.0
2013,tenure_track,14,4.0,28.6
2014,central_banks,2,0.0,0.0
2014,international_orgs,4,1.0,25.0
2014,other_academic,3,1.0,33.3
2014,private_sector,2,0.0,0.0
2014,tenure_track,18,1.0,5.6
2014,think_tanks,2,1.0,50.0
2015,central_banks,5,0.0,0.0
2015,government,2,1.0,50.0
2015,international_orgs,2,0.0,0.0
2015,other_academic,3,0.0,0.0
2015,private_sector,5,2.0,40.0
2015,tenure_track,14,3.0,21.4
2015,think_tanks,1,0.0,0.0
2016,central_banks,7,2.0,28.6
2016,government,1,0.0,0.0
2016,international_orgs,2,1.0,50.0
2016,other_academic,6,2.0,33.3
2016,private_sector,4,1.0,25.0
2016,tenure_track,18,7.0,38.9
2016,think_tanks,1,1.0,100.0
2017,central_banks,2,0.0,0.0
2017,government,2,0.0,0.0
2017,international_orgs,4,1.0,25.0
2017,other_academic,3,1.0,33.3
2017,private_sector,6,4.0,66.7
2017,tenure_track,10,2.0,20.0
2017,think_tanks,1,0.0,0.0
2018,central_banks,2,0.0,0.0
2018,government,2,0.0,0.0
2018,other_academic,2,0.0,0.0
2018,private_sector,3,0.0,0.0
2018,tenure_track,14,5.0,35.7
2019,central_banks,4,1.0,25.0
2019,government,4,1.0,25.0
2019,international_orgs,4,1.0,25.0
2019,other_academic,8,3.0,37.5
2019,private_sector,7,1.0,14.3
2019,tenure_track,19,4.0,21.1
2020,central_banks,3,0.0,0.0
2020,international_orgs,1,1.0,100.0
2020,other_academic,4,1.0,25.0
2020,private_sector,6,1.0,16.7
2020,tenure_track,18,5.0,27.8
2020,think_tanks,2,0.0,0.0
2021,central_banks,1,1.0,100.0
2021,government,3,0.0,0.0
2021,international_orgs,1,0.0,0.0
2021,private_sector,9,3.0,33.3
2021,tenure_track,9,2.0,22.2
2021,think_tanks,2,1.0,50.0
2022,central_banks,1,0.0,0.0
2022,government,2,0.0,0.0
2022,other_academic,8,1.0,12.5
2022,private_sector,7,1.0,14.3
2022,tenure_track,9,5.0,55.6
2023,government,2,1.0,50.0
2023,international_orgs,1,0.0,0.0
2023,other_academic,7,1.0,14.3
2023,private_sector,10,3.0,30.0
2023,tenure_track,10,2.0,20.0
2023,think_tanks,1,1.0,100.0
2024,central_banks,1,0.0,0.0
2024,government,5,1.0,20.0
2024,international_orgs,1,0.0,0.0
2024,other_academic,4,0.0,0.0
2024,private_sector,8,0.0,0.0
2024,tenure_track,12,1.0,8.3
2025,central_banks,1,1.0,100.0
2025,international_orgs,1,0.0,0.0
2025,other_academic,6,3.0,50.0
2025,private_sector,1,1.0,100.0
2025,tenure_track,20,1.0,5.0
