year,sector,n,n_female,female_pct
1998,academia,13,2.0,15.4
1998,government_broad,4,1.0,25.0
1998,private_sector,2,0.0,0.0
1999,academia,7,1.0,14.3
1999,government_broad,2,1.0,50.0
1999,private_sector,1,0.0,0.0
2000,government_broad,1,0.0,0.0
2001,academia,8,2.0,25.0
2001,private_sector,2,0.0,0.0
2002,academia,6,0.0,0.0
2002,government_broad,3,2.0,66.7
2002,private_sector,1,0.0,0.0
2003,academia,13,6.0,46.2
2003,government_broad,2,0.0,0.0
2003,private_sector,1,0.0,0.0
2004,academia,12,4.0,33.3
2004,government_broad,1,1.0,100.0
2004,private_sector,3,1.0,33.3
2005,academia,13,7.0,53.8
2005,government_broad,3,0.0,0.0
2005,private_sector,3,0.0,0.0
2006,academia,9,2.0,22.2
2006,private_sector,5,1.0,20.0
2007,academia,9,2.0,22.2
2007,government_broad,2,0.0,0.0
2007,private_sector,5,1.0,20.0
2008,academia,6,0.0,0.0
2008,government_broad,1,0.0,0.0
2009,academia,15,3.0,20.0
2009,private_sector,2,1.0,50.0
2010,academia,17,2.0,11.8
2010,government_broad,4,1.0,25.0
2010,private_sector,1,0.0,0.0
2011,academia,18,7.0,38.9
2011,government_broad,2,1.0,50.0
2011,private_sector,2,1.0,50.0
2012,academia,19,3.0,15.8
2012,government_broad,7,2.0,28.6
2012,private_sector,6,1.0,16.7
2013,academia,15,4.0,26.7
2013,government_broad,5,2.0,40.0
2013,private_sector,4,2.0,50.0
2014,academia,21,2.0,9.5
2014,government_broad,8,2.0,25.0
2014,private_sector,2,0.0,0.0
2015,academia,17,3.0,17.6
2015,government_broad,10,1.0,10.0
2015,private_sector,5,2.0,40.0
2016,academia,24,9.0,37.5
2016,government_broad,11,4.0,36.4
2016,private_sector,4,1.0,25.0
2017,academia,13,3.0,23.1
2017,government_broad,9,1.0,11.1
2017,private_sector,6,4.0,66.7
2018,academia,16,5.0,31.2
2018,government_broad,4,0.0,0.0
2018,private_sector,3,0.0,0.0
2019,academia,27,7.0,25.9
2019,government_broad,12,3.0,25.0
2019,private_sector,7,1.0,14.3
2020,academia,22,6.0,27.3
2020,government_broad,6,1.0,16.7
2020,private_sector,6,1.0,16.7
2021,academia,9,2.0,22.2
2021,government_broad,7,2.0,28.6
2021,private_sector,9,3.0,33.3
2022,academia,17,6.0,35.3
2022,government_broad,3,0.0,0.0
2022,private_sector,7,1.0,14.3
2023,academia,17,3.0,17.6
2023,government_broad,4,2.0,50.0
2023,private_sector,10,3.0,30.0
2024,academia,16,1.0,6.2
2024,government_broad,7,1.0,14.3
2024,private_sector,8,0.0,0.0
2025,academia,26,4.0,15.4
2025,government_broad,2,1.0,50.0
2025,private_sector,1,1.0,100.0
